pmid,title,authors,journal,year,gene,variant,disease,study_type,n_patients,effect_size,abstract,url
111111,TP53 missense variants drive colorectal cancer progression,Smith J; Lee H,Cancer Res,2022,TP53,R175H,colorectal cancer,case-control,120,2.3,Mutations such as R175H in TP53 are enriched in colorectal tumors and correlate with poor prognosis and chemoresistance.,https://pubmed.ncbi.nlm.nih.gov/111111/
222222,BRCA1 frameshift 185delAG and hereditary breast cancer,Gonzalez A; Patel R,Nat Genet,2021,BRCA1,185delAG,breast cancer,familial,87,5.1,"The 185delAG frameshift mutation in BRCA1 disrupts DNA repair, leading to genomic instability and a marked increase in hereditary breast cancer risk.",https://pubmed.ncbi.nlm.nih.gov/222222/
333333,EGFR exon 19 deletions predict NSCLC response to TKIs,Cheng L; Moore D,J Thorac Oncol,2020,EGFR,Exon 19 deletion,non-small cell lung cancer,clinical trial,142,3.7,Patients with NSCLC harboring EGFR exon 19 deletions demonstrate prolonged progression-free survival when treated with tyrosine kinase inhibitors like erlotinib.,https://pubmed.ncbi.nlm.nih.gov/333333/
444444,KRAS G12D mutation drives pancreatic tumorigenesis,Nguyen P; Kim Y,Cell Rep,2019,KRAS,G12D,pancreatic cancer,in vivo model,0,4.6,"Using murine models, KRAS G12D mutations were shown to be sufficient to initiate pancreatic intraepithelial neoplasia and progression to invasive cancer.",https://pubmed.ncbi.nlm.nih.gov/444444/
555555,ALK fusion proteins in pediatric anaplastic large cell lymphoma,Singh R; O’Neill B,Blood,2018,ALK,NPM-ALK,ALCL,observational,63,2.8,"NPM-ALK fusion proteins drive oncogenesis in pediatric ALCL through constitutive kinase activity and STAT3 pathway activation, highlighting targets for therapy.",https://pubmed.ncbi.nlm.nih.gov/555555/
666666,PTEN loss enhances PI3K/AKT signaling in glioblastoma,Wang Z; Hernandez F,Neuro Oncol,2021,PTEN,loss-of-function,glioblastoma,cell culture,0,3.0,"PTEN-deficient glioblastoma cells show increased proliferation due to unregulated PI3K/AKT signaling, implicating pathway inhibitors as viable treatments.",https://pubmed.ncbi.nlm.nih.gov/666666/
777777,CFTR F508del correction in cystic fibrosis organoids,Klein A; Desai M,Sci Transl Med,2022,CFTR,F508del,cystic fibrosis,organoid,8,2.9,"Corrector-potentiator combinations restored chloride conductance in patient-derived organoids with F508del CFTR, supporting ex vivo modeling of therapeutic efficacy.",https://pubmed.ncbi.nlm.nih.gov/777777/
888888,APC truncation mutations and WNT activation in colorectal tumors,Lee H; Gomez T,Mol Cancer Res,2017,APC,truncation,colorectal cancer,tissue analysis,34,1.9,"Truncated APC proteins fail to degrade β-catenin, resulting in constitutive WNT pathway activation and promotion of tumor growth in colorectal tissue.",https://pubmed.ncbi.nlm.nih.gov/888888/
999999,IDH1 R132H mutation alters glioma epigenome,Zhao M; Kaur D,Cancer Cell,2016,IDH1,R132H,low-grade glioma,epigenomics,47,3.3,"The R132H mutation in IDH1 produces 2-hydroxyglutarate, causing widespread DNA hypermethylation and altering gene expression profiles in gliomas.",https://pubmed.ncbi.nlm.nih.gov/999999/
101010,MLH1 promoter methylation in Lynch syndrome colorectal cancers,Ahmed S; Tanaka K,JAMA Oncol,2023,MLH1,methylation,colorectal cancer,epigenetics,91,2.1,"Promoter methylation of MLH1 silences mismatch repair activity in Lynch-associated colorectal cancers, leading to microsatellite instability and higher mutational burden.",https://pubmed.ncbi.nlm.nih.gov/101010/
